769112 | 04BQ04 Nov 12 23:07:27 04 | L01 D1         |  2:25:58.4  -4:30:30 2000 |  300 | r | 1.10 | 0.79 0.90   862 |P 1 V D|	 2143 |
879876 | 06BQ07 Nov 16 23:07:06 06 | L01 D1         |  2:25:58.4  -4:30:30 2000 |  300 | r | 1.10 | 1.12 1.15   640 |P 3 O Q|	 2877 |
766354 | 04BQ03 Oct 21 23:14:19 04 | L01 D1         |  2:25:58.4  -4:30:30 2000 |  300 | r | 1.20 | 0.57 0.72  1978 |P 1 V Q|	 2121 |
806629 | 05BQ01 Aug 04 04:26:59 05 | L01 D1         |  2:25:58.4  -4:30:30 2000 |  300 | r | 1.20 | 0.62 0.65   758 |A 1 V Q|	 2408 |
831284 | 05BQ11 Dec 25 22:21:54 05 | L01 D1         |  2:25:58.4  -4:30:30 2000 |  300 | r | 1.24 | 0.92 0.93   812 |P 2 V Q|	 2551 |
860613 | 06AQ11 Aug 01 04:05:46 06 | L01 D1         |  2:25:58.4  -4:30:30 2000 |  300 | r | 1.30 | 1.02 1.03   722 |P 2 V D|	 2770 |
879871 | 06BQ07 Nov 16 22:32:34 06 | L01 D1         |  2:25:58.4  -4:30:30 2000 |  360 | i | 1.11 | 0.89 0.91  1683 |P 1 V Q|	 2877 |
831279 | 05BQ11 Dec 25 21:46:26 05 | L01 D1         |  2:25:58.4  -4:30:30 2000 |  360 | i | 1.16 | 0.86 0.87  1901 |P 1 V Q|	 2551 |
940449 | 07BQ04 Sep 05 03:30:04 07 | L01 D1         |  2:25:58.4  -4:30:30 2000 |  360 | z | 1.10 | 0.93 0.83  1719 |P 1 V D|	 3170 |
885553 | 06BQ08 Dec 25 21:25:58 06 | L01 D1         |  2:25:58.4  -4:30:30 2000 |  360 | z | 1.12 | 0.78 0.80  1881 |P 1 V Q|	 2916 |
935059 | 07BQ02 Aug 11 03:54:46 07 | L01 D1         |  2:25:58.4  -4:30:30 2000 |  360 | z | 1.22 | 0.72 0.77  1514 |P 1 V Q|	 3145 |
769841 | 04BQ04 Nov 21 01:01:36 04 | L01 D1         |  2:25:58.4  -4:30:30 2000 |  360 | z | 1.31 | 0.62 0.70  3044 |A 1 V Q|	 2152 |
935052 | 07BQ02 Aug 11 02:58:46 07 | L01 D1         |  2:25:58.4  -4:30:30 2000 |  420 | r | 1.44 | 0.93 0.94   922 |P 2 V D|	 3145 |
826498 | 05BQ09 Nov 24 20:41:54 05 | L01 D1         |  2:25:58.4  -4:30:30 2000 |  520 | i | 1.27 | 0.63 0.63  3310 |P 1 V Q|	 2520 |
862489 | 06BQ01 Aug 16 02:46:36 06 | L01 D1         |  2:25:58.4  -4:30:30 2000 |  520 | i | 1.40 | 0.69 0.73  3093 |P 1 V Q|	 2785 |
806622 | 05BQ01 Aug 04 03:17:26 05 | L01 D1         |  2:25:58.4  -4:30:30 2000 |  520 | i | 1.48 | 0.54 0.59  2806 |A 2 V Q|	 2408 |
874615 | 06BQ05 Oct 15 01:16:29 06 | L01 D1         |  2:25:58.4  -4:30:31 2000 |  225 | g | 1.10 | 0.69 0.72   487 |P 1 V Q|	 2845 |
875285 | 06BQ05 Oct 27 00:11:31 06 | L01 D1         |  2:25:58.4  -4:30:31 2000 |  225 | g | 1.10 | 0.78 0.78   386 |P 1 V Q|	 2857 |
761576 | 04BQ02 Sep 13 02:31:00 04 | L01 D1         |  2:25:58.4  -4:30:31 2000 |  225 | g | 1.12 | 0.67 0.80   401 |P 1 V Q|	 2083 |
810312 | 05BQ03 Sep 04 02:54:54 05 | L01 D1         |  2:25:58.4  -4:30:31 2000 |  225 | g | 1.14 | 0.62 0.63   430 |P 1 V Q|	 2439 |
767692 | 04BQ04 Nov 03 22:54:46 04 | L01 D1         |  2:25:58.4  -4:30:31 2000 |  225 | g | 1.14 | 1.03 0.89   520 |A 3 V D|	 2134 |
766159 | 04BQ03 Oct 18 23:44:44 04 | L01 D1         |  2:25:58.4  -4:30:31 2000 |  225 | g | 1.16 | 0.83 0.90   514 |P 1 V Q|	 2118 |
767687 | 04BQ04 Nov 03 22:31:26 04 | L01 D1         |  2:25:58.4  -4:30:31 2000 |  225 | g | 1.18 | 1.02 0.90   551 |A 5 O D|	 2134 |
767682 | 04BQ04 Nov 03 22:07:57 04 | L01 D1         |  2:25:58.4  -4:30:31 2000 |  225 | g | 1.24 | 0.89 0.87   569 |A 5 O D|	 2134 |
880776 | 06BQ07 Nov 24 00:35:30 06 | L01 D1         |  2:25:58.4  -4:30:31 2000 |  225 | g | 1.26 | 0.78 0.79   404 |P 1 V Q|	 2885 |
